Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20221216,Vattenledningsvägen 23,58,3,Unknown,4062,3950000,2022-12-16,68103,134,59.3040680978642,18.0120849609375
20220525,Tidaholmsvägen 27,58,2,Unknown,2309,3950000,2022-05-25,68103,113,59.2935508743254,18.1027221679688
20220524,Ekensbergsvägen 126,58,3,Signe Caroline Sjövall,3236,4000000,2022-05-24,68966,118,59.3156332889651,17.9949188232422
20220217,Mössebergsvägen 29,58,2,Inez Domé,3950,4070000,2022-02-17,70172,58,59.3370010164131,17.9818725585938
20221115,Sjöbjörnsvägen 38,58,2,Nicklas Talvitie,4016,4150000,2022-11-15,71552,169,59.3163340832322,18.0093383789063
20220310,Slalomvägen 12,58,3,Unknown,3547,4200000,2022-03-10,72414,47,59.2917976876279,17.9743194580078
20220120,Ekensbergsvägen 124,58,3,Nicklas Talvitie,3236,4200000,2022-01-20,72414,118,59.3156332889651,17.9949188232422
2022122,Nybohovsbacken 29,58,2,Nicklas Talvitie,2815,4210000,2022-12-02,72586,202,59.3086245517671,18.0223846435547
20211117,Tranebergsvägen 27,58,2,Jan Malmgren,2802,4240000,2021-11-17,73103,69,59.3334990309366,17.9859924316406
20221111,Sjöbjörnsvägen 42,58,2,Nicklas Talvitie,4015,4250000,2022-11-11,73276,176,59.3166844749487,18.0100250244141
20220224,Nybohovsbacken 29 8tr,58,2,Unknown,2815,4260000,2022-02-24,73448,202,59.3086245517671,18.0223846435547
20220610,Svartviksvägen 4,58,2,Emma Andersson Hejll,3536,4300000,2022-06-10,74138,99,59.3345496644847,17.9907989501953
20220923,Lämmelgränd 5,58,2,Josef Khan,3250,4350000,2022-09-23,75000,38,59.3348998684472,17.9619598388672
2022033,Ymsenvägen 2,58,2,Unknown,2889,4350000,2022-03-03,75000,446,59.2984593165776,18.0663299560547
2022056,Magnus Ladulåsgatan 27,58,2,Unknown,2789,4400000,2022-05-06,75862,884,59.3121291009452,18.0628967285156
20221129,Kristinebergs slottsväg 3,58,2,Julia Larsson,3317,4450000,2022-11-29,76724,139,59.3320981356643,18.0079650878906
20220923,Sjöbjörnsvägen 8,58,2,Nicklas Talvitie,3650,4495000,2022-09-23,77500,180,59.3166844749487,18.0107116699219
20220310,Mössebergsvägen 31,58,3,Emma Andersson Hejll,3950,4550000,2022-03-10,78448,58,59.3370010164131,17.9818725585938
20220331,Thunbergsgatan 37,58,2,Nathalie Jensen,3809,4550000,2022-03-31,78448,229,59.2953039707014,18.0958557128906
20220520,Blommensbergsvägen 186,58,2,Alexander Shahin,3082,4550000,2022-05-20,78448,87,59.3065216488942,17.9935455322266
20220930,Stagneliusvägen 43,58,2,Unknown,1408,4550000,2022-09-30,78448,134,59.3289459101019,18.0045318603516
20221013,Allhelgonagatan 7,58,2,Unknown,2568,4600000,2022-10-13,79310,888,59.3096759544436,18.0731964111328
20220916,Ensittarvägen 5,58,2,Emma Wallin,3856,4625000,2022-09-16,79741,94,59.3198378378938,17.9935455322266
20220510,Hertigvägen 10,58,2,Unknown,3083,4800000,2022-05-10,82759,83,59.3065216488942,17.9914855957031
20221028,LM Ericssons Väg 20,58,2,Adam Stephani,2420,4800000,2022-10-28,82759,89,59.2995110335101,17.99560546875
20220915,Sjöbjörnsvägen 52,58,2,Nicklas Talvitie,3650,4850000,2022-09-15,83621,181,59.3173852475481,18.0100250244141
20220614,Sjöbjörnsvägen 26,58,2,Johanna Dahlerus,3650,4900000,2022-06-14,84483,180,59.3166844749487,18.0107116699219
20220921,Brännkyrkagatan 55,58,2,Unknown,3391,4975000,2022-09-21,85776,1400,59.3187867494125,18.0587768554688
20221019,Högbergsgatan 81C,58,2,Susanne Persson,3476,4985000,2022-10-19,85948,1100,59.3149324802526,18.0628967285156
20220331,Sjöbjörnsvägen 18,58,2,Astrid Skogh,3650,5000000,2022-03-31,86207,186,59.3173852475481,18.0107116699219
2022045,Sjöbjörnsvägen 40,58,2,Nicklas Talvitie,3650,5000000,2022-04-05,86207,168,59.3166844749487,18.0093383789063
2022128,Disponentgatan 1,58,2,Erica Holmberg,3626,5000000,2022-12-08,86207,156,59.3243921791053,18.0079650878906
2022022,Sjöbjörnsvägen 46,58,2,Nicklas Talvitie,3650,5050000,2022-02-02,87069,182,59.3170348630541,18.0100250244141
20220823,Hägerstensvägen 138,58,2,Astrid Skogh,3512,5145000,2022-08-23,88707,103,59.3054701486965,17.9990386962891
2022106,Orvar odds väg 51,58,2,Unknown,2970,5150000,2022-10-06,88793,125,59.3306971826286,17.9983520507813
20220525,Kristinebergs slottsväg 7,58,2,Julia Larsson,3317,5160000,2022-05-25,88966,142,59.3324483648976,18.0072784423828
20220216,Sjöbjörnsvägen 22,58,2,Nicklas Talvitie,3650,5200000,2022-02-16,89655,186,59.3170348630541,18.0107116699219
2022119,Svarvargatan 18,58,2,Vilhelm Åman,2125,5225000,2022-11-09,90086,454,59.3370010164131,18.028564453125
20220411,Kristinebergs slottsväg 5,58,2,Dilini Panabokke,3317,5250000,2022-04-11,90517,139,59.3324483648976,18.0079650878906
20220916,Fleminggatan 107,58,2,Unknown,2799,5300000,2022-09-16,91379,467,59.3348998684472,18.0278778076172
20221214,Torbjörn klockares gata 21,58,2,Tina Engström,2347,5400000,2022-12-14,93103,567,59.3454043087755,18.0354309082031
20220825,Götgatan 96,58,2,Unknown,1369,5450000,2022-08-25,93966,871,59.3093254904965,18.0752563476563
20221123,Malmgårdsvägen 20,58,2,Unknown,2991,5470000,2022-11-23,94310,596,59.3093254904965,18.0896759033203
20220525,Helgalunden 5,58,2,Unknown,4339,5500000,2022-05-25,94828,905,59.3103768715025,18.0704498291016
20220412,John Bergs Plan 2,58,2,David Garrett,2451,5550000,2022-04-12,95690,379,59.3363006481976,18.0230712890625
