Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm
2019088.0,Bildhuggarvägen 4,24.0,1.0,Bjurfors Enskede,1579.0,2000000.0,297.0,59.29518204070777,18.076629638671875,83333.0
2019088.0,Ljusstöparbacken 5C,22.0,1.0,Notar,1217.0,2000000.0,168.0,59.314109771032584,18.010711669921875,90909.0
2019088.0,Skridskovägen 9A,24.0,1.0,Erik Olsson Fastighetsförmedling,1290.0,2050000.0,45.0,59.29237703664608,17.975006103515625,85417.0
2019087.0,Kocksgatan 52,25.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1065.0,2800000.0,883.0,59.314109771032584,18.08349609375,112000.0
2019087.0,Bergsundsgatan 16,25.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1534.0,3240000.0,387.0,59.3169129835029,18.028564453125,129600.0
2019087.0,Gyllenborgsgatan 22,21.5,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1528.0,2600000.0,274.0,59.33302697043213,18.01483154296875,120930.0
2019087.0,Paternostervägen 36,25.0,1.0,Fastighetsbyrån Enskede,1159.0,2260000.0,113.0,59.29097444790585,18.0999755859375,90400.0
2019087.0,Dalagatan 39,24.0,2.0,Fastighetsbyrån Stockholm - Vasastan,1165.0,3070000.0,851.0,59.34493239869467,18.04229736328125,127917.0
2019087.0,Lidnersplan 8,22.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Kungsholmen,1446.0,2280000.0,125.0,59.335828623088354,17.99835205078125,103636.0
2019087.0,Konstgjutarvägen 38,24.5,1.0,Notar,1814.0,2000000.0,254.0,59.29448081136921,18.073883056640625,81633.0
2019087.0,Sågargatan 14,22.0,1.0,BOSTHLM Fastighetsmäklare AB,1311.0,2350000.0,516.0,59.314109771032584,18.09173583984375,106818.0
2019086.0,Rådmansgatan 46,25.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Vasastan,1553.0,3000000.0,1500.0,59.34073095931448,18.06015014648437,120000.0
2019085.0,Parmmätargatan 22,20.0,1.0,HusmanHagberg Kungsholmen,1506.0,2900000.0,1300.0,59.329524579699104,18.04779052734375,145000.0
2019083.0,Folkskolegatan 6,22.0,1.0,Brokr Fastighetsmäklare,1874.0,2550000.0,409.0,59.31761375050765,18.029937744140625,115909.0
2019081.0,Mockasinvägen 26,23.0,1.0,Notar,1124.0,1700000.0,43.0,59.28325917646979,18.01620483398437,73913.0
2019081.0,Skeppargatan 22,23.0,1.0,Nestor Fastighetsmäkleri,1135.0,3200000.0,1000.0,59.333727405256454,18.08349609375,139130.0
2019081.0,Åsögatan 181,22.0,1.0,Innerstadsspecialisten S AB,1283.0,2630000.0,684.0,59.314810595818216,18.0889892578125,119545.0
